"","Current or provisional name","Name used in publication","Collected as","Collection Number (PTM)","UBC Accession #","Genbank Number","Collection Date","Habitat","Site #","Notes","PSBA.Accession","COI.5P.Accession","rbcL.Accession"
"15","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1047,"no voucher","MK567568  ","July 6, 2014","subtidal, 10.1m",3,"quad 4-sample 2; on rock; no voucher","MK567568","",""
"16","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1048,"A92022","MK567569  ","July 6, 2014","subtidal, 10.1m",3,"quad 4-sample 3; on rock; voucher","MK567569","",""
"17","Bossiella exarticulata","Bossiella exarticulata","Coralline crust",1049,"A91402","MK567587  ","July 6, 2014","subtidal, 10.1m",3,"quad 4-sample 4; on rock; dirty","MK567587","",""
"18","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1050,"A91403"," MK590037 ","July 6, 2014","subtidal, 10.2m",3,"quad 5-sample 1; on rock","","MK590037",""
"19","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1051,"no voucher","MK567567  ","July 6, 2014","subtidal, 10.2 m",3,"quad 5-sample 2; on rock; no voucher; very small sample","MK567567","",""
"20","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1052,"no voucher","MK567624  ","July 6, 2014","subtidal, 10.2m",3,"quad 5-sample 3; on rock; no voucher","MK567624","",""
"21","Chiharaea americana","Chiharaea americana","Coralline crust",1053,"A92024","MK567553  ","July 6, 2014","subtidal 10.2m",3,"quad 5-sample 4; on rock","MK567553","",""
"22","Chiharaea americana","Chiharaea americana","Coralline crust",1054,"A92025","MK567599  ","July 6, 2014","subtidal, 10.1 m",3,"quad 6-sample 1; on rock","MK567599","",""
"23","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1055,"A92026","  MK567535","July 6, 2014","subtidal, 10.1 m",3,"quad 6-sample 2; on cup coral","","","MK567535"
"24","Crusticorallina muricata","Crusticorallina muricata","Coralline crust",1056,"A91404","MK567597  ","July 6, 2014","subtidal, 10.1 m",3,"quad 6-sample 3; on rock","MK567597","",""
