Accession #,Research_note,,,,,,Family,collector_no,,Country,,Collected_Date,Depth,Det_Date,Determiner,,Notes,,,,,Genus,geo_locate,geo,geo_year,geo_source,geo_Lat_dd,geo_Lat_deg,geo_Lat_min,geo_Lat_sec,geo_Long_dd,geo_Long_deg,geo_Long_min,geo_Long_sec,coord_source,,Habitat,Insitution,,curation_notes,Locality,,,,Sci_name,other_collectors,Phylum,Collector,Project_id,state_province,,reproduction,research_annot,,species,authority,,,,type_status,,,,datum,Lat_deg,Lat_min,Lat_sec,Long_deg,Long_min,Long_sec
A87294,"Calliarthron tuberculosum, species determination supported by rbcL gene Det. Paul W. Gabrielson 2008, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-41,Yes,United States,,2008 Jan 20, -0.5 m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by Patrick T. Martone 2008,R.L. Martone,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.07,-121,54,14.58
A87295,"Calliarthron tuberculosum, species determination supported by rbcL gene Det. Paul W. Gabrielson 2008, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-42,Yes,United States,,2008 Jan 20, -0.5m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.07,-121.9041,-121,54,14.58,Verbatim from Collector/Sheet,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by Patrick T. Martone 2008,R.L. Martone,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.07,-121,54,14.58
A87296,"Calliarthron tuberculosum, species determination supported by rbcL gene Det. Paul W. Gabrielson 2008, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-44,Yes,United States,,2008 Feb 07,0 m,2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,901,2018,Unknown,36.6375,36,38,14.88,-121.94,-121,56,8,Verbatim from Collector/Sheet,,"Epilithic, low intertidal, east side of Point",UBC,,,"Point Pinos, Pacific Grove",,,,Calliarthron tuberculosum by Patrick T. Martone 2008,,Rhodophyta,Patrick T. Martone,2014OctDani,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,38,14.88,-121,56,8
A87297,,,,,,,Florideophyceae,PTM-47,Yes,United States,,2008 Jun 01,"-7.62 m; ""Subtidal 1""",2008 Jun 1,Patrick T. Martone,,Species determination supported by rbcL gene (P.Gabrielson),,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.623,36,37,22.68,-121.9051,-121,54,18.36,Verbatim from Collector/Sheet,,"Epilithic, subtidal, near Denny wavemeter",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron cheilosporioides by P.T. Martone 2008,,Rhodophyta,M. Boller,,California,,,,,cheilosporioides,Manza,,,,,,,,,36,37,22.68,-121,54,18.36
A87298,"No genetic determination Det. Patrick T. Martone and Katy R. Hind 2013, University of British Columbia Herbarium",,,,,,Florideophyceae,PTM-48,Yes,United States,,2008 Jun 01,"-7.62 m; ""Subtidal 2""",2008,Patrick T. Martone,,,,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.623,36,37,22.68,-121.9051,-121,54,18.36,Verbatim from Collector/Sheet,,"Epilithic, subtidal, near Denny wavemeter",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron cheilosporioides by Patrick T. Martone 2008,,Rhodophyta,M. Boller,2014OctDani,California,,,,,cheilosporioides,Manza,,,,,,,,,36,37,22.68,-121,54,18.36
A87299,"Calliarthron cheilosporioides by partial rbcL sequence F1152/R1308 GenBank #HQ322290, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,,,,,Florideophyceae,PTM-49,Yes,United States,,2004 Feb 25,"0 m, low intertidal",2004 Feb 25,Patrick T. Martone,,"""Large 10"", Species determination supported by rbcL gene (P.Gabrielson)",,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,Epilithic ,UBC,,,"Hopkins Marine Station, Pacific Grove, ""Coralline Bench""",,,,Calliarthron cheilosporioides by P.T. Martone 2004,,Rhodophyta,Patrick T. Martone,,California,,,"Calliarthron cheilosporioides by partial rbcL sequence F1152/R1308 GenBank #HQ322290, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,cheilosporioides,Manza,,,,,,,,,36,37,18.28,-121,54,20.86
A87300,,,,,,,Florideophyceae,PTM-50,Yes,United States,,2005 Jan 25,0.5 m,2005 Jan 25,Patrick T. Martone,,"""Tidepool 2"", Species determination supported by rbcL gene (P.Gabrielson)",,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,"Epilithic, mid intertidal, near ""Coralline bench""",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by P.T. Martone 2005,,Rhodophyta,Patrick T. Martone,,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.28,-121,54,20.86
A87301,,,,,,,Florideophyceae,PTM-51,Yes,United States,,2005 Jan 25,0.5 m,2005 Jan 25,Patrick T. Martone,,"""Tidepool 4"", Species determination supported by rbcL gene (P.Gabrielson)",,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,"Epilithic, mid intertidal, near ""Coralline bench""",UBC,,,"Hopkins Marine Station, Pacific Grove",,,,Calliarthron tuberculosum by P.T. Martone 2005,,Rhodophyta,Patrick T. Martone,,California,,,,,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.28,-121,54,20.86
A87302,"Calliarthron tuberculosum by partial rbcL sequence F1152/R1308 GenBank #HQ322314, Paul W. Gabrielson 2010, University of North Carolina (NCU)",,,,,,Florideophyceae,PTM-52,Yes,United States,,2005 Jan 26,"0.5 m, mid intertidal",2005 Jan 26,Patrick T. Martone,,"""Tidepool 7"", Species determination supported by rbcL gene (P.Gabrielson)",,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,Epilithic,UBC,,,"Hopkins Marine Station, Pacific Grove, near ""Coralline Bench""",,,,Calliarthron tuberculosum by P.T. Martone 2005,,Rhodophyta,Patrick T. Martone,,California,,,"Calliarthron tuberculosum by partial rbcL sequence F1152/R1308 GenBank #HQ322314, Paul W. Gabrielson 2010, University of North Carolina (NCU)",,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.28,-121,54,20.86
A87303,"Calliarthron cheilosporioides by partial rbcL sequence F1152/R1308 GenBank # HQ322283, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,,,,,Florideophyceae,PTM-53,Yes,United States,,2004 Feb 24,"0 m, low intertidal",2004 Feb 24,Patrick T. Martone,,"""Large 3"", Species determination supported by rbcL gene (P.Gabrielson)",,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,Epilithic,UBC,,,"Hopkins Marine Station, Pacific Grove, ""Coralline Bench""",,,,Calliarthron cheilosporioides by P.T. Martone 2004,,Rhodophyta,Patrick T. Martone,,California,,,"Calliarthron cheilosporioides by partial rbcL sequence F1152/R1308 GenBank # HQ322283, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,cheilosporioides,Manza,,,,,,,,,36,37,18.28,-121,54,20.86
A87304,"Calliarthron tuberculosum by partial rbcL sequence F57/RrbcS GenBank #HQ322306, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,,,,,Florideophyceae,PTM-54,Yes,United States,,2003 Feb 24,"0 m, low intertidal",2003 Feb 24,Patrick T. Martone,,"""Large 1"", Species determination supported by rbcL gene (P.Gabrielson)",,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,Epilithic,UBC,,,"Hopkins Marine Station, Pacific Grove, ""Coralline Bench""",,,,Calliarthron tuberculosum by P.T. Martone 2003,,Rhodophyta,Patrick T. Martone,,California,,,"Calliarthron tuberculosum by partial rbcL sequence F57/RrbcS GenBank #HQ322306, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.28,-121,54,20.86
A87305,"Calliarthron tuberculosum by partial rbcL sequence F1152/R1308 GenBank #HQ322312, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,,,,,Florideophyceae,PTM-55,Yes,United States,,2005 Jan 25,"0.5 m, mid intertidal",2005 Jan 25,Patrick T. Martone,,"""Tidepool 5"", Species determination supported by rbcL gene (P.Gabrielson)",,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,Epilithic,UBC,,,"Hopkins Marine Station, Pacific Grove, near ""Coralline Bench""",,,,Calliarthron tuberculosum by P.T. Martone 2005,,Rhodophyta,Patrick T. Martone,,California,,,"Calliarthron tuberculosum by partial rbcL sequence F1152/R1308 GenBank #HQ322312, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.28,-121,54,20.86
A87306,"Calliarthron tuberculosum by partial rbcL sequence F1152/R1308 GenBank #HQ322310, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,,,,,Florideophyceae,PTM-56,Yes,United States,,2004 Feb 25,"0 m, low intertidal",2004 Feb 25,Patrick T. Martone,,"""Large 8"", Species determination supported by rbcL gene (P.Gabrielson)",,,,,Calliarthron,Crystal Kwong,9,2018,Unknown,36.6217,36,37,18.28,-121.9058,-121,54,20.86,Verbatim from Collector/Sheet,,Epilithic,UBC,,,"Hopkins Marine Station, Pacific Grove, ""Coralline Bench""",,,,Calliarthron tuberculosum by P.T. Martone 2004,,Rhodophyta,Patrick T. Martone,,California,,,"Calliarthron tuberculosum by partial rbcL sequence F1152/R1308 GenBank #HQ322310, Paul W. Gabrielson 2010, University of North Carolina Herbarium (NCU)",,tuberculosum,(Postels et Ruprecht) E.Y. Dawson,,,,,,,,,36,37,18.28,-121,54,20.86
