Accession #,Research_note,,,,,,Family,collector_no,,Country,,Collected_Date,Depth,Det_Date,Determiner,,Notes,,,,,Genus,geo_locate,geo,geo_year,geo_source,geo_Lat_dd,geo_Lat_deg,geo_Lat_min,geo_Lat_sec,geo_Long_dd,geo_Long_deg,geo_Long_min,geo_Long_sec,coord_source,,Habitat,Insitution,,curation_notes,Locality,,,,Sci_name,other_collectors,Phylum,Collector,Project_id,state_province,,reproduction,research_annot,,species,authority,,,,type_status,,,,datum,Lat_deg,Lat_min,Lat_sec,Long_deg,Long_min,Long_sec
A91921,"Spongites sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-920,Yes,Chile,,2014 Apr 16,,2014,"Patrick T. Martone, Katharine R. Hind",,tiny conceptacles,,,,,Spongites,Crystal Kwong,0,2018,WGS 84,-41.87041,-41,52,13.4754,-73.90499,-73,54,17.9634,Verbatim from Collector/Sheet,,Lower mid intertidal,UBC,,,"Ancud, Britt's Beach",On rock scallop,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,52,13.4754,-73,54,17.9634
A91922,"Spongites sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-921,Yes,Chile,,2014 Apr 16,,2014,"Patrick T. Martone, Katharine R. Hind",,bumpy; tiny conceptacles,,,,,Spongites,Crystal Kwong,0,2018,WGS 84,-41.87041,-41,52,13.4754,-73.90499,-73,54,17.9634,Verbatim from Collector/Sheet,,Lower mid intertidal,UBC,,,"Ancud, Britt's Beach",On rock scallop,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,52,13.4754,-73,54,17.9634
A91923,"Spongites sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-922,Yes,Chile,,2014 Apr 16,,2014,"Patrick T. Martone, Katharine R. Hind",,3 individuals; ridged,,,,,Spongites,Crystal Kwong,0,2018,WGS 84,-41.87041,-41,52,13.4754,-73.90499,-73,54,17.9634,Verbatim from Collector/Sheet,,Lower mid intertidal,UBC,,,"Ancud, Britt's Beach",On pebble,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,52,13.4754,-73,54,17.9634
A91924,"Spongites sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-923,Yes,Chile,,2014 Apr 16,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Spongites,Crystal Kwong,0,2018,WGS 84,-41.87041,-41,52,13.4754,-73.90499,-73,54,17.9634,Verbatim from Collector/Sheet,,Mid low intertidal,UBC,,,"Ancud, Britt's Beach",On rock scallop,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,52,13.4754,-73,54,17.9634
A91925,,,,,,,Florideophyceae,PTM-924,Yes,Chile,,2014 Apr 16,,2014,"Patrick T. Martone, Katharine R. Hind",,smooth pink,,,,,"""Coralline""",Crystal Kwong,0,2018,WGS 84,-41.87041,-41,52,13.4754,-73.90499,-73,54,17.9634,Verbatim from Collector/Sheet,,Mid low intertidal,UBC,,,"Ancud, Britt's Beach",On rock scallop,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,,,,,,,,,,WGS 84,-41,52,13.4754,-73,54,17.9634
A91926,"Spongites sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-925,Yes,Chile,,2014 Apr 16,,2014,"Patrick T. Martone, Katharine R. Hind",,white margin; big conceptacles,,,,,Spongites,Crystal Kwong,0,2018,WGS 84,-41.87041,-41,52,13.4754,-73.90499,-73,54,17.9634,Verbatim from Collector/Sheet,,Mid low intertidal,UBC,,,"Ancud, Britt's Beach",On rock scallop,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,52,13.4754,-73,54,17.9634
A91927,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-926,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,reproductive; all one plant,,,,,Corallina,Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,"Mid intertidal, in tidepool, with worms",UBC,,,"Cucao, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91928,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-927,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,reproductive; all one plant,,,,,Corallina,Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,"Mid intertidal, in tidepool, with worms",UBC,,,"Cucao, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91929,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-928,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Corallina,Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,"Mid intertidal, in tidepool",UBC,,,"Cucao, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91930,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-929,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Corallina,Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,Drift,UBC,,,"Cucao, South End",On Macrocystis holdfast,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91931,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-930,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,epiphytic,,,,,Corallina,Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,Drift,UBC,,,"Cucao, South End",On Durvillaea holdfast,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91932,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-931,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,one frond,,,,,Corallina,Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,Drift,UBC,,,"Cucao, South End",On Macrocystis holdfast,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,Reproductive?,,,sp.,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91933,,,,,,,Florideophyceae,PTM-932,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,"""Coralline""",Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,Mid intertidal,UBC,,,"Cucao, South End",On shell,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,Reproductive?,,,,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91934,,,,,,,Florideophyceae,PTM-933,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,"""Coralline""",Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,Mid intertidal,UBC,,,"Cucao, South End",On turban snail,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91935,"Spongites sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-934,Yes,Chile,,2014 Apr 17,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Spongites,Crystal Kwong,0,2018,WGS 84,-42.70709,-42,42,25.524,-74.13551,-74,8,7.8354,Verbatim from Collector/Sheet,,Mid intertidal,UBC,,,"Cucao, South End",On keyhole limpet,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-42,42,25.524,-74,8,7.8354
A91936,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-935,Yes,Chile,,2014 Apr 18,10 ft,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Corallina,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Subtidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91937,,,,,,,Florideophyceae,PTM-936,Yes,Chile,,2014 Apr 18,10 ft,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,"""Coralline""",Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Subtidal,UBC,,,"Ancud, Mar Brava, South End",On turban snail,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91938,"Arthrocardia sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-937,Yes,Chile,,2014 Apr 18,10 ft,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Arthrocardia,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Subtidal,UBC,,,"Ancud, Mar Brava, South End",On turban snail,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91939,"Hapalidiaceae sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-938,Yes,Chile,,2014 Apr 18,10 ft,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Hapalidiaceae,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Subtidal,UBC,,,"Ancud, Mar Brava, South End",On keyhole limpet,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91940,"""Bossiella chile"", species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-939,Yes,Chile,,2014 Apr 18,10 ft,2014,"Patrick T. Martone, Katharine R. Hind",,"in crevice; fuscia pink, short, dense",,,,,Bossiella,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Subtidal,UBC,,,"Ancud, Mar Brava, South End",On bedrock,,,"Bossiella sp. by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,Reproductive,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91941,"""Bossiella chile"", species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-940,Yes,Chile,,2014 Apr 18,10 ft,2014,"Patrick T. Martone, Katharine R. Hind",,"in crevice; fuscia pink, short, dense",,,,,Bossiella,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Subtidal,UBC,,,"Ancud, Mar Brava, South End",On bedrock,,,"Bossiella sp. by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,Reproductive,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91942,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-941,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Corallina,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91943,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-942,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,perhaps the same species as PTM-941?,,,,,Corallina,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91944,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-943,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,perhaps the same species as PTM-941 and PTM-942?,,,,,Corallina,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,Reproductive,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91945,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-944,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Corallina,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91946,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-945,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Corallina,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91947,,,,,,,Florideophyceae,PTM-946,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Arthrocardia,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Arthrocardia sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91948,,,,,,,Florideophyceae,PTM-947,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Arthrocardia,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Arthrocardia sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91949,"Arthrocardia sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-948,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Arthrocardia,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",,,,"Arthrocardia sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91950,,,,,,,Florideophyceae,PTM-949,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Corallina,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",On rock,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91951,"Corallina sp. 1chile, species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-950,Yes,Chile,,2014 Apr 18,,2014,"Patrick T. Martone, Katharine R. Hind",,entire sample is huge; 1/2 size of hand,,,,,Corallina,Crystal Kwong,840,2018,WGS 84,-41.9271,-41,55,37.56,-74.01,-74,0,45,Verbatim from Collector/Sheet,,Low intertidal,UBC,,,"Ancud, Mar Brava, South End",On rock,,,"Corallina sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,55,37.56,-74,0,45
A91952,,,,,,,Florideophyceae,PTM-951,Yes,Chile,,2014 Apr 19,7 ft,2014,"Patrick T. Martone, Katharine R. Hind",,chipped off large bouder,,,,,"""Coralline""",Crystal Kwong,1,2018,WGS 84,-41.94486,-41,56,41.4954,-74.03019,-74,1,48.684,Verbatim from Collector/Sheet,,Subtidal,UBC,,,Bahia Pumillahue,On large boudlers,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,,,,,,,,,,WGS 84,-41,56,41.4954,-74,1,48.684
A91953,,,,,,,Florideophyceae,PTM-952,Yes,Chile,,2014 Apr 19,15 ft,2014,"Patrick T. Martone, Katharine R. Hind",,mauve crust; thicker than others,,,,,"""Coralline""",Crystal Kwong,1,2018,WGS 84,-41.94486,-41,56,41.4954,-74.03019,-74,1,48.684,Verbatim from Collector/Sheet,,Subtidal,UBC,,,Bahia Pumillahue,,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,,,,,,,,,,WGS 84,-41,56,41.4954,-74,1,48.684
A91954,"psbA gene sequence matches Mesophyllum erubescens (but also Phymatolithon repandum), Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-953,Yes,Chile,,2014 Apr 19,15 ft,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Mesophyllum,Crystal Kwong,1,2018,WGS 84,-41.94486,-41,56,41.4954,-74.03019,-74,1,48.684,Verbatim from Collector/Sheet,,Subtidal,UBC,,,Bahia Pumillahue,On small cobble,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,erubescens,(Foslie) Me.Lemoine,,,,,,,,WGS 84,-41,56,41.4954,-74,1,48.684
A91955,"psbA gene sequence matches Mesophyllum erubescens (but also Phymatolithon repandum), Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-954,Yes,Chile,,2014 Apr 19,15 ft,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Mesophyllum,Crystal Kwong,1,2018,WGS 84,-41.94486,-41,56,41.4954,-74.03019,-74,1,48.684,Verbatim from Collector/Sheet,,Subtidal,UBC,,,Bahia Pumillahue,On small cobble,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,erubescens,(Foslie) Me.Lemoine,,,,,,,,WGS 84,-41,56,41.4954,-74,1,48.684
A91956,"psbA gene sequence matches Mesophyllum erubescens (but also Phymatolithon repandum), Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-955,Yes,Chile,,2014 Apr 19,15 ft,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Mesophyllum,Crystal Kwong,1,2018,WGS 84,-41.94486,-41,56,41.4954,-74.03019,-74,1,48.684,Verbatim from Collector/Sheet,,Subtidal,UBC,,,Bahia Pumillahue,On small cobble,,,"""Coralline"" by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,erubescens,(Foslie) Me.Lemoine,,,,,,,,WGS 84,-41,56,41.4954,-74,1,48.684
A91957,"""Bossiella chile"", species determination supported by gene sequence Det. Patrick T. Martone and Katharine R. Hind 2015, University of British Columbia Herbarium ",,,,,,Florideophyceae,PTM-956,Yes,Chile,,2014 Apr 19,15 ft,2014,"Patrick T. Martone, Katharine R. Hind",,,,,,,Bossiella,Crystal Kwong,1,2018,WGS 84,-41.94486,-41,56,41.4954,-74.03019,-74,1,48.684,Verbatim from Collector/Sheet,,Subtidal,UBC,,,Bahia Pumillahue,On small cobble,,,"Bossiella sp. by Patrick T. Martone, Katharine R. Hind 2014",Meghann R. Bruce,Rhodophyta,Katharine R. Hind,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,56,41.4954,-74,1,48.684
A91958,,,,,,,Florideophyceae,PTM-965,Yes,Chile,,2014 Apr 19,,2014,"Patrick T. Martone, Katharine R. Hind",,bleached,,,,,Bossiella,Crystal Kwong,0,2018,WGS 84,-41.87041,-41,52,13.4754,-73.90499,-73,54,17.9634,Verbatim from Collector/Sheet,,Drift,UBC,,,"Ancud, Britt's Beach",,,,"Bossiella sp. by Patrick T. Martone, Katharine R. Hind 2014",Katharine R. Hind,Rhodophyta,Patrick T. Martone,PTM 2015 Corallines,Chiloe,,,,,sp.,,,,,,,,,WGS 84,-41,52,13.4754,-73,54,17.9634
