Current or provisional name,Name used in publication,Collected as,Collection Number (PTM),UBC Accession #,Genbank Number,Collection Date,Habitat,Site #,Notes
Lithophyllum sp.2,Lithophyllum sp.1,Coralline crust,1123,A92069,TBA,"July 8, 2014",subtidal 13m,4,quad 6-sample 6; dark speckled; same as 1120?
Crusticorallina adhaerens,Crusticorallina adhaerens,coralline crust,1190,A92118,TBA,"July 13, 2014",subtidal 12.8m,2,quad 1-sample 1; wormy
Chiharaea americana,Chiharaea americana,Chiharaea americana,1191,A91430,TBA,"July 13, 2014",subtidal 12.8m,2,quad 1-sample 2; not a sequencing priority
Crusticorallina painei,Crusticorallina painei,Coralline crust ,1192,A91431,TBA,"July 13, 2014",subtidal 12.8m,2,quad 1-sample 3
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1193,A91422,TBA,"July 13, 2014",subtidal 12.8m,2,quad 1-sample 4; dirty sample
Lithothamnion glaciale,Lithothamnion glaciale,Coralline crust,1194,A92119,TBA,"July 13, 2014",subtidal 12.8m,2,quad 1-sample 5; on whelk; voucher in bag; needs DNA
Crusticorallina adhaerens,Crusticorallina adhaerens,Coralline crust,1195,A92120,TBA,"July 13, 2014",subtidal 12.8m,2,quad 1-sample 6
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1196,A92121,TBA,"July 13, 2014",subtidal 12.8m,2,quad 1-sample 7; (missed a sample?; worksheet said B. schmittii)
Chiharaea americana,Chiharaea americana,Chiharaea americana,1198,A92123,TBA,"July 13, 2014",subtidal 12.8m,2,quad 2-sample 2; voucher in bag; not a sequencing priority
Crusticorallina painei,Crusticorallina painei,Coralline crust,1199,A91423,TBA,"July 13, 2014",subtidal 12.8m,2,quad 2-sample 3; not adherent; shelf-like
Lithothamnion glaciale,Lithothamnion glaciale,Coralline crust,1200,A92130,TBA,"July 13, 2014",subtidal 12.8m,2,quad 2-sample 4; wormy; with proturberances
Lithothamnion glaciale,Lithothamnion glaciale,Coralline crust,1201,A92131,TBA,"July 13, 2014",subtidal 12.8m,2,quad 2-sample 5; rosey pink crust in broken corner; smaller on rock; voucher in bag
Corallinacsp.7BCcrust,Lithothamnion sp.,Coralline crust,1202,A92132,TBA,"July 13, 2014",subtidal 12.8m,2,quad 2-sample 6; thin peachy colour; smooth; voucher in bag
Crusticorallina muricata,Crusticorallina muricata,Coralline crust,1203,A91424,TBA,"July 13, 2014","subtidal, 12.4m",2,quad 3-sample 1; not adherent; Derbesia in worm tubes; swirly; reproductive; thick white margin; voucher in bag
Crusticorallina muricata,Crusticorallina muricata,Coralline crust,1204,A92128,TBA,"July 13, 2014","subtidal, 12.4m",2,quad 3-sample 2; wormy; voucher in bag; same as 1203?
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Coralline crust,1205,A92133,TBA,"July 13, 2014","subtidal, 12.4m",2,quad 3-sample 3
Lithothamnion glaciale,Lithothamnion glaciale,Lithothamnion phymatodeum ,1206,A92134,TBA,"July 13, 2014","subtidal, 12.4m",2,quad 3-sample 4
Lithophyllum sp.4,Lithophyllum sp.4,Coralline crust,1207,no voucher,TBA,"July 13, 2014","subtidal, 12.4m",2,quad 3-sample 5; DNA only; no voucher 
Crusticorallina painei,Crusticorallina painei,Coralline crust,1208,A92135,TBA,"July 13, 2014",subtidal 11.9 m,2,quad 4-sample 1
